HD     simbad_parallax simbad_parallax_source MV     B_V   simbad_SpType
176051 67.24           2007A&A...474..653V    +04.36 +0.59 F9V+K1V
176560 07.99           2007A&A...474..653V    +00.97 +0.08 A2V
178524 06.40           2007A&A...474..653V    -03.08 +0.35 F2II-III
179366 10.92           2007A&A...474..653V    +00.72 +0.18 A3/5IV/V
179588 05.63           2018yCat.1345....0G    +00.48 -0.01 B9IV
180553 03.61           2007A&A...474..653V    -00.67 -0.06 B8V
184171 03.79           2007A&A...474..653V    -02.37 -0.14 B3IV
186882 19.77           2007A&A...474..653V    -00.65 -0.03 A0IV
187458 15.70           2007A&A...474..653V    +02.51 +0.44 F4V+F6V
187642 194.95          2007A&A...474..653V    +02.22 +0.22 A7Vn
187961 02.04           2018yCat.1345....0G    -01.91 -0.01 B7V
189432 02.27           2007A&A...474..653V    -01.90 -0.09 B5IV
190004 14.71           2007A&A...474..653V    +01.06 +0.36 F2III
191104 25.40           2007A&A...474..653V    +03.45 +0.46 F3V
192342 10.93           2007A&A...474..653V    +01.75 +0.29 kA3hF0mF5(III)
192659 01.72           2007A&A...474..653V    -02.11 -0.04 B8III
193322 01.68           2007A&A...474..653V    -03.03 +0.10 O9IV(n)+B1.5V
193702 05.54           2007A&A...474..653V    -00.05 +0.06 A1V
193807 10.47           2007A&A...474..653V    +00.74 +0.20 A5V
193924 18.24           2007A&A...474..653V    -01.75 -0.20 B2IV
194433 26.79           2007A&A...474..653V    +03.39 +0.97 K2IV+K1V
194943 33.04           2007A&A...474..653V    +02.38 +0.38 F2V
195325 04.39           2007A&A...474..653V    -00.71 -0.03 A1:III
196662 02.87           2007A&A...474..653V    -02.49 -0.12 B7III
197018 03.53           2007A&A...474..653V    -01.20 -0.16 B8III
197345 02.31           2007A&A...474..653V    -06.93 +0.09 A2Ia
198183 04.24           2007A&A...474..653V    -02.33 -0.11 B5V
198513 04.49           2007A&A...474..653V    -00.45 -0.07 B8Vn+A3V:
198571 16.47           2007A&A...474..653V    +02.07 +0.46 F7IV+F6:V:
198732 09.28           2007A&A...474..653V    +01.17 +0.88 K0III
199223 07.06           2007A&A...474..653V    +00.29 +0.82 K0III+F/G
199955 03.02           2007A&A...474..653V    -01.99 -0.15 B7IVn+B7IV
200375 14.12           2007A&A...474..653V    +02.00 +0.48 F5/6V
200614 03.54           2007A&A...474..653V    -01.42 -0.07 B8IVs+B9V
201433 08.64           2007A&A...474..653V    +00.27 -0.10 B8V
201836 02.36           2007A&A...474..653V    -01.68 -0.01 B6IV
202214 00.76           2007A&A...474..653V    -04.96 +0.11 O9.5IV
203358 15.24           2007A&A...474..653V    +01.59 +1.08 G8IV-+G5IV
204018 17.72           2007A&A...474..653V    +01.75 +0.39 A5mF0-F3
206240 07.97           2007A&A...474..653V    -00.20 +0.75 G8/K0III
206778 04.73           2007A&A...474..653V    -04.24 +1.53 K2Ib-II
208450 17.34           2007A&A...474..653V    +00.60 +0.28 F0IV
208682 03.18           2007A&A...474..653V    -01.63 -0.06 B2Ve
209014 03.99           2007A&A...474..653V    -01.58 -0.09 B8III_sh+B8.5IV
209515 06.62           2007A&A...474..653V    -00.30 -0.03 B9.5VpCrSiSr
210960 13.97           2007A&A...474..653V    +01.05 +0.80 K0III+F2V
213973 12.87           2007A&A...474..653V    +02.15 +0.32 A9III
214952 18.43           2007A&A...474..653V    -01.57 +1.60 M4.5III
215114 06.82           2007A&A...474..653V    +00.62 +0.17 A3IV
216380 13.75           2007A&A...474..653V    +01.29 +0.78 G8III-IV+G2IV
216900 10.12           2007A&A...474..653V    +01.54 +0.18 A3Vs
216956 129.81          2007A&A...474..653V    +01.73 +0.09 A4V
217232 10.60           2007A&A...474..653V    +00.88 +0.32 F0V
217642 07.92           2007A&A...474..653V    +00.96 +0.94 K1III
217782 07.74           2007A&A...474..653V    -00.46 +0.09 A1V
217906 16.64           2007A&A...474..653V    -01.47 +1.67 M2.5II-III
218060 15.57           2007A&A...474..653V    +01.39 +0.30 F0V
218227 24.73           2007A&A...474..653V    +01.25 +0.42 kF3VhF5mF5(II-III)
218658 13.22           2007A&A...474..653V    +00.02 +0.80 G2III
219916 16.06           2007A&A...474..653V    +00.78 +0.84 G8.5III-IIIbFe-0.5
220003 11.60           2007A&A...474..653V    +01.37 +0.42 A7/9
220278 15.30           2007A&A...474..653V    +01.12 +0.20 A3V
222287 12.68           2007A&A...474..653V    +01.61 +0.24 A7III+A/F
222439 19.37           2007A&A...474..653V    +00.58 -0.08 B9IVn
223358 05.93           2007A&A...474..653V    +00.28 +0.06 A0VpSrSiCrHg
223385 00.53           2007A&A...474..653V    -05.95 +0.67 A2.5(I)+O9.8II
224572 00.72           2007A&A...474..653V    -05.83 -0.07 B1V
224750 12.29           2007A&A...474..653V    +01.74 +0.76 G3IV
