designation,HD,HIP,ra,declination,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,Mg,Mg_error,MRp,MRp_error,Bp_minus_Rp
Gaia DR3 1711005951573009792,\N,\N,267.408,82.78863973768209,61.17533188584654,0.01278488,3612.5059,-1436.9077614373489,3314.43723593768,0.94133276,14.21691,14.392744,13.904995,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.149791670732194,0.0004538106084153,12.837876670732197,0.0004538106084153,0.487749
Gaia DR3 333010327952701696,\N,\N,32.8428,39.92041953166222,58.23059072433413,0.02650553,1143.938,1028.6780317553662,-500.415391620317,1.0849315,14.405324,14.583219,14.09747,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.231079979306855,0.0009884157167858,12.923225979306858,0.0009884157167858,0.485749
Gaia DR3 923023248261420672,\N,\N,119.996,43.58991194574878,45.5404743108346,0.050161853,338.20724,-297.2652046392402,161.2995184908566,1.0555096,16.143442,16.29825,15.818569,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,14.435429747722528,0.0023918311238384,14.110556747722526,0.0023918311238384,0.479681
Gaia DR3 710766750855439360,\N,\N,127.664,32.69411028218998,44.665353802349244,0.0398835,547.399,-147.7341425695646,-527.0866093236602,1.0775336,15.637096,15.80243,15.332115,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.886949892318109,0.0019389960112352,13.58196889231811,0.0019389960112352,0.470315
Gaia DR3 5037084872486444928,\N,\N,21.3531,-26.01467836756078,60.35779337436104,0.025622379,575.0384,235.87006780372127,-524.4372546001046,0.9749228,14.960075,15.120025,14.662146,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.863741769926628,0.0009218079273001,13.565812769926628,0.0009218079273001,0.457879
Gaia DR3 3978879594463300992,\N,\N,171.049,21.359804540978555,68.04195101183048,0.028807813,1038.0396,-1037.89859423324,-17.107494410049725,0.9811443,14.124896,14.28668,13.829387,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.288779789658877,0.0009193648023826,12.993270789658876,0.0009193648023826,0.457293
Gaia DR3 470826482637310848,\N,\N,67.8139,58.969481205135885,181.2730074917688,0.02025858,2361.1292,1334.7796929514584,-1947.638150541708,0.92638206,12.33619,12.493927,12.051627,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.627855700838271,0.0002426778719994,13.343292700838273,0.0002426778719994,0.4423
Gaia DR3 3763445409285757824,\N,\N,164.393,-7.522698907313,81.50828167584473,0.024058733,822.07,-816.9845553873879,91.29802255443,0.95016116,14.239208,14.391698,13.9645605,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.795216688079815,0.0006409517580365,13.520569188079817,0.0006409517580365,0.4271375
Gaia DR3 6592315723192176896,\N,\N,325.489,-33.0087818186527,62.07043110668332,0.022531694,213.94585,-181.46830874927264,-113.3229063906546,0.96712524,14.447915,14.613073,14.189368,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.412338808818678,0.0007882489800268,13.15379180881868,0.0007882489800268,0.423705
Gaia DR3 2274076301516712704,\N,\N,321.742,73.64383349123008,44.90913894407425,0.06964944,328.04684,59.52580007130075,-322.6010150478182,1.5308757,16.51303,15.270747,14.84991,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,14.77470364144338,0.0033677323171676,13.111583641443382,0.0033677323171676,0.420837
