HIP, e_Plx, Plx
986,0.83,10.44
987,1.24,1.79
988,0.93,-0.41
989,0.85,2.89
990,1.22,4.7
991,1.94,8.64
992,1.47,9.1
993,1.3,2.01
994,0.93,5.47
995,1.02,3.99
996,1,19.39
997,1.53,2.9
998,1.01,1.76
999,1.2,24.69
1000,1.34,15.32
1001,1.4,4.61
1002,1.23,5.62
1003,1.23,21.09
1004,1.04,4.78
1005,1.46,5.39
1006,11.74,34.54
1007,0.6,1.73
1008,0.83,0.07
1009,0.82,6.3
1010,1.54,2.07
1011,0.8,5.28
1012,0.96,5.91
1013,0.99,15.34
1014,0.96,1.12
1015,2.09,4.48
1016,1.25,7.06
1017,0.96,4.18
1018,1.06,4.68
1019,0.87,4.24
1020,1.34,8.04
1021,1.97,3.81
1022,1.78,15.9
1023,0.83,2.37
1024,1.08,4.23
1025,1.21,2.79
1026,0.76,18.06
1027,1.17,4.71
1028,1.36,6.35
1029,1.59,5.72
1030,0.8,1.21
1031,0.78,49.18
1032,1.24,1.97
1033,0.94,2.47
1034,1.93,5.93
1035,1.09,4.68
1036,1.54,0.03
1037,1.01,2.51
1038,1.07,7.41
1039,0.81,0.92
1040,1.7,5.43
1041,4.78,-4.4
1042,0.75,2.95
1043,0.76,8.09
1044,1.94,27.5
1045,1.48,5.52
1046,0.95,6.07
1047,1.76,5.79
1048,0.84,5.76
1049,0.84,4.7
1050,3.02,1.56
1051,1.11,11.11
1052,0.94,9.18
1053,1.12,6.4
1054,1.46,3.85
1055,2.95,24.96
1056,1.15,-0.86
1057,0.78,7.17
1058,0.86,14.72
1059,2.22,2.43
1060,3.9,5.84
1061,0.99,3.67
1062,1.13,1.79
1063,0.63,8.55
1064,1.33,5.06
1065,0.98,5.66
1066,0.91,3.38
1067,0.81,9.79
1068,6.34,37.3
1069,0.92,5.17
1070,1.1,4.39
1071,1.08,11.12
1072,0.9,10.64
1073,0.91,10.64
1074,0.49,4
1075,0.78,3.6
1076,1.15,8.08
1077,1.55,0.12
1078,1.48,28.3
1079,1.27,3.88
1080,1.42,1.8
1081,0.99,2.49
1082,5.38,1.92
1083,2.54,36.74
1084,0.97,4.32
1085,1.25,30
1086,0.74,28.57
1087,1.52,1.79
1088,1.12,4.09
1089,0.89,4.67
1090,0.89,7.03
1091,1.09,2.87
1092,3.31,51.12
1093,0.76,4.88
1094,2.34,11.12
1095,3.04,5.97
1096,0.83,3.22
1097,1.45,4.25
1098,1.27,7.52
1099,0.8,4.23
1100,1.13,4.06
1101,0.91,9.78
1102,0.94,6.48
1103,0.96,13.08
1104,1.01,1.46
1105,0.82,9.34
1106,1.15,2.5
1107,0.81,2.79
1108,1.2,8.59
1109,1.24,1.55
1110,1.24,1.4
1111,1.95,6.24
1112,1.07,1.09
1113,0.87,22.86
1114,0.76,14.45
1115,1.03,3.24
1116,1.17,10.74
1117,1.25,-0.03
1118,0.74,3.11
1119,1.58,24.14
1120,0.9,4.28
1121,1.23,6.69
1122,1,0.45
1123,0.73,11.13
1124,0.6,3.49
1125,1.05,5.52
1126,0.59,2.4
1127,1.34,3.2
1128,1.19,23.68
1129,3.21,7.21
1130,1.35,2.66
1131,0.84,1.26
1132,0.8,3.42
1133,0.88,9.36
1134,1.17,21.66
1135,1.14,3.59
1136,1.83,5.7
1137,0.89,13.44
1138,1.08,0.69
1139,0.83,4.17
1140,0.68,21.62
1141,1.02,3
1142,0.77,4.1
1143,1.04,4.39
1144,1.2,20.23
1145,2.31,2.39
1146,0.62,2.53
1147,0.9,18.19
1148,1.49,22.51
1149,1.27,1.72
1150,0.65,2.65
1151,1.5,11.19
1152,1.41,7.15
1153,0.97,3.74
1154,1.12,7.55
1155,1.05,3.32
1156,0.98,10.93
1157,0.95,2.65
1158,0.79,5.21
1159,1.46,2.69
1160,1.48,0.5
1161,0.82,12.17
1162,1.27,0.1
1163,1.4,4.21
1164,0.83,4.48
1165,1.44,1.39
1166,1.44,8.31
1167,1.56,1.62
1168,0.77,10.01
1169,0.82,11.81
1170,0.82,6.62
1171,1.1,-0.43
1172,1.19,2.74
1173,1.37,13.85
1174,1.4,12.12
1175,1.17,0.97
1176,0.78,7.76
1177,1.4,3.02
1178,0.99,3.37
1179,1.09,0.11
1180,0.82,1.29
1181,0.77,3.93
1182,3.12,4.81
1183,2.05,6.24
1184,0.87,8.41
1185,0.89,11.33
1186,3.11,2.62
1187,1.97,13.96
1188,1.01,7.09
1189,1.66,4.97
1190,2.18,6.81
1191,0.78,9.4
1192,0.91,4.57
1193,0.71,9.18
1194,1.08,4.35
1195,0.87,4.41
1196,1.28,12.47
1197,3.9,15.91
1198,1.12,0.76
1199,1.11,6.97
1200,0.82,0.78
1201,1.45,8.05
1202,0.85,1.79
1203,1.24,9.36
1204,1,1.8
1205,1.42,4.47
1206,0.93,22.9
1207,0.88,6.25
1208,0.72,2.47
1209,0.91,2.02
1210,1.41,4.9
1211,0.83,10.99
1212,1.28,1.88
1213,1.49,2.73
1214,1.17,5.97
1215,0.82,7.92
1216,1.12,3.42
1217,0.92,3.54
1218,1.03,4.95
1219,1.23,6.57
1220,1.25,1.26
1221,2.31,8.77
1222,1.67,2.16
1223,1.26,6
1224,2.14,12.24
1225,1.63,5.94
1226,8.6,4.87
1227,2.06,0.79
1228,1.11,5.26
1229,0.97,0.3
1230,1.18,9.22
1231,1.03,7.89
1232,1.38,1.95
1233,0.76,4.05
1234,0.81,10.91
1235,0.94,3.79
1236,2.65,2.13
1237,1.01,5.97
1238,1.17,3.77
1239,1.24,3.66
1240,2.84,14.39
1241,1.22,1.67
1242,17.24,191.86
1243,0.88,5.43
1244,1.77,2.84
1245,1,4.09
1246,0.86,2.43
