HIP, e_Plx, Plx
43587,0.84,79.8
43726,0.88,58.5
43790,2.2,49.92
43797,0.44,41.41
43948,3.45,60.99
44072,1.28,48.53
44075,0.97,46.9
44127,0.79,68.32
44248,1.3,60.86
44263,6.57,40.77
44295,3.21,54.57
44376,4.06,48.92
44722,1.8,68.86
44897,0.87,52.25
44899,1.58,44.75
44955,2.9,47.24
45038,0.62,48.87
45116,2.32,39.89
45170,0.92,48.83
45333,0.72,51.12
45343,5.23,161.59
45383,1.14,54.25
45617,1.08,57.05
45637,1.09,42.59
45839,1.38,41.4
45908,0.98,95.37
45963,1.08,41.19
46343,1.04,49.84
46417,1.05,43.54
46488,4.02,58.17
46509,3.8,58.48
46549,1.53,42.47
46580,1.02,78.87
46626,0.91,51.71
46651,0.7,53.89
46655,3.91,103.56
46706,4.31,94.95
46733,0.64,43.2
46769,2.02,73.88
46816,0.99,54.52
46843,0.89,56.35
46853,0.74,74.15
47080,0.78,89.45
47103,1.99,111.41
47201,1.49,45.51
47395,3.97,41.66
47425,1.67,105.34
47513,1.98,88.06
47592,0.73,67.19
47619,3.22,61.35
47620,3.18,85.14
47645,53.37,39.19
47650,2.24,86.69
47690,1.12,56.23
47741,3.97,70.59
47780,13.4,101.87
47981,1.53,62.85
48113,0.74,54.26
48190,2.78,47.47
48331,0.82,89.67
48336,22.31,73.1
48411,1.53,47.69
48447,3.77,45.21
48477,1.84,63.81
48502,2.52,39.02
48509,3.27,39.75
48659,3.1,87.26
48714,1.2,95.4
48904,1.85,62.88
49081,0.83,67.14
49091,2.35,62.33
49189,1.66,67.14
49366,1.11,43.14
49376,3.13,41.59
49526,2.56,45.04
49544,1.96,44.77
49669,0.79,42.09
49699,0.94,55.37
49868,2.72,47.06
49908,0.81,205.22
49969,2.37,81.23
49973,1.66,58.59
49986,1.53,127.99
50075,0.72,43.98
50125,1.42,43.8
50156,1.71,48.95
50341,2.37,72.79
50384,0.75,44.01
50505,0.85,48.45
50564,0.82,47.24
50798,79.48,98.17
50808,2.71,49.88
50921,0.75,45.26
50954,0.49,61.67
51007,1.8,80.07
51248,0.77,42.45
51254,1.54,39.75
51271,0.96,41.16
51317,2.13,138.29
51459,0.65,77.82
51468,1.22,44.83
51473,2.17,39.16
51502,0.55,46.54
51523,0.51,45.72
51525,1.17,63.81
51547,1.31,57.18
51819,0.6,47.55
51928,3.14,39.56
51933,0.68,40.67
52186,2.94,59.46
52190,3.76,68.38
52296,2.42,61.3
52341,3.85,61.18
52369,0.82,42.73
52462,0.84,46.36
52470,0.99,39.56
52596,2.45,72.19
52600,2.36,70.87
52708,1.27,49.51
53020,23,177.46
53327,1.04,44.92
53486,1.03,56.98
53580,1.45,43.43
53721,0.66,71.04
53767,1.59,150.96
53910,0.6,41.07
53947,25.52,57.46
53953,12.56,59.31
53985,1.36,85.76
54035,0.91,392.4
54155,1.4,40.57
54211,1.19,206.94
54227,4.62,54.9
54288,2.6,39.11
54298,78.3,155.28
54373,1.94,53.75
54426,1.03,43.91
54513,2.45,39.87
54532,1.67,93.56
54646,1.07,83.85
54651,1.26,47.85
54658,3.92,59.01
54677,1.93,44
54704,0.84,46.22
54745,0.9,46.04
54803,2.03,41.49
54810,1.29,55.72
54872,0.83,56.52
54906,0.97,46.95
54922,1.66,44.12
54952,1.18,68.13
54966,15.62,48.47
55031,35.81,43.57
55042,2.8,79.71
55052,2.2,39.68
55066,1.68,56.87
55119,1.4,56.96
55210,1,45.48
55360,1.11,109.95
55454,1.7,76
55507,1.48,40.36
55605,26.14,62.03
55625,2.37,47.1
55642,1.16,41.26
55691,1.82,77.58
55718,1.49,43.89
55846,1.4,56.59
55848,3.31,55.59
56153,0.99,44.97
56157,4.02,71.64
56199,1.3,42.74
56238,1.56,61.76
56242,1.1,43.42
56244,2.59,95.46
56284,2.55,43.66
56452,0.81,104.84
56466,2.06,56.35
56528,1.81,110.65
