HIP,HD,designation,Vmag,RAdeg,DEdeg,RAhms,DEdms,Plx,e_Plx,distance_Plx,pmRA,pmDE,BTmag,VTmag,MV,MV_error,MVt,MVt_error,B_minus_V,BT_minus_VT
HIP 115126,219834,\N,5.2,349.77712113,-13.45844256,23 19 06.51,-13 27 30.4,48.22,5.25,20.7383,265.64,-44.87,\N,\N,3.616136030207175,0.23736207604109305,\N,\N,0.787,\N
HIP 15439,\N,\N,11.84,49.7431538,-36.39265929,03 18 58.36,-36 23 33.6,48.81,2.61,20.4876,-162.28,-125.25,\N,\N,10.282544038282609,0.11622524187679151,\N,\N,1.54,\N
HIP 5896,7788,\N,4.25,18.93956391,-68.87623708,01 15 45.50,-68 52 34.5,48.94,0.53,20.4332,411.11,127.43,\N,8.439,2.698319825078853,0.023517069308228944,6.887319825078853,0.023517069308228944,0.48,\N
HIP 82396,151680,\N,2.29,252.54268738,-34.29260982,16 50 10.24,-34 17 33.4,49.85,0.81,20.0602,-611.83,-255.87,\N,\N,0.7783258132383732,0.03528680986042687,\N,\N,1.144,\N
HIP 94368,\N,\N,11.31,288.10644051,-55.86837187,19 12 25.55,-55 52 06.1,50.04,2.72,19.984,-278.15,-169.46,\N,\N,9.80658650510691,0.11815012729608743,\N,\N,1.45,\N
HIP 67620,120690,\N,6.43,207.83625055,-24.38977243,13 51 20.70,-24 23 23.2,50.2,0.85,19.9203,-580.93,-244.87,\N,\N,4.933518585725097,0.03677147354318411,\N,\N,0.703,\N
HIP 15844,\N,\N,10.38,51.0264225,23.78534067,03 24 06.34,+23 47 07.2,50.54,4.66,19.7863,217.18,-129.17,\N,\N,8.898176187919482,0.20078917124992213,\N,\N,1.51,\N
HIP 84084,\N,\N,12.25,257.85253534,-38.40958029,17 11 24.61,-38 24 34.5,54.25,56.24,18.4332,101.97,31.97,\N,\N,10.921998712602836,\N,\N,\N,\N,\N
HIP 42881,\N,\N,10.65,131.09582438,-44.4727867,08 44 23.00,-44 28 22.0,54.68,3.89,18.2882,137.83,104.33,\N,\N,9.339142529478924,0.1547425279984065,\N,\N,1.432,\N
HIP 93825,177474,\N,4.23,286.60433158,-37.06275714,19 06 25.04,-37 03 45.9,55.89,1.94,17.8923,96.93,-279.67,\N,\N,2.9666705480795263,0.07540435821166325,\N,\N,0.523,\N
HIP 53947,\N,\N,11.35,165.57518647,16.50970179,11 02 18.04,+16 30 34.9,57.46,25.52,17.4034,-12.81,-186.07,\N,\N,10.146828108279646,1.0365962967262252,\N,\N,1.6,\N
HIP 54658,\N,\N,10.92,167.83326608,43.41841593,11 11 19.98,+43 25 06.3,59.01,3.92,16.9463,-633.95,-443.77,\N,\N,9.774628073194997,0.14446239843541075,\N,\N,1.632,\N
HIP 66182,\N,\N,12.96,203.46586742,-53.43178743,13 33 51.81,-53 25 54.4,59.1,114.46,16.9205,219.59,-150.35,\N,\N,11.817937404406278,\N,\N,\N,\N,\N
HIP 53953,\N,\N,11.64,165.58049645,16.50864841,11 02 19.32,+16 30 31.1,59.31,12.56,16.8606,-32.62,-183.41,\N,\N,10.505639620166676,0.4669150741205286,\N,\N,1.454,\N
HIP 108752,\N,\N,10.65,330.45336272,16.4670778,22 01 48.81,+16 28 01.5,60.94,2.14,16.4096,392.28,154.0,\N,\N,9.574512249433276,0.07628589645181627,\N,\N,1.498,\N
HIP 4927,\N,\N,11.36,15.80724267,20.09773584,01 03 13.74,+20 05 51.8,61.23,5.26,16.3319,671.78,44.46,\N,\N,10.294821297178665,0.18700256511165136,\N,\N,1.59,\N
HIP 110526,\N,\N,10.7,335.87051591,32.45993621,22 23 28.92,+32 27 35.8,62.18,10.01,16.0823,251.26,-207.57,\N,\N,9.668253588535864,0.35264051272741526,\N,\N,1.57,\N
HIP 36850,60179,\N,1.58,113.65001898,31.88863645,07 34 36.00,+31 53 19.1,63.27,1.23,15.8053,-206.33,-148.18,\N,\N,0.5859891722957453,0.04221981373425088,\N,\N,0.034,\N
HIP 77349,\N,\N,11.27,236.85350085,-10.89563601,15 47 24.84,-10 53 44.3,64.16,2.49,15.586,-326.12,-356.06,\N,\N,10.306321776380535,0.08431551330893328,\N,\N,1.565,\N
HIP 69578,\N,\N,12.1,213.62812474,-61.79940836,14 14 30.75,-61 47 57.9,64.68,46.97,15.4607,-14.12,-16.11,\N,\N,11.15385005617182,1.999100415543455,\N,\N,\N,\N
HIP 34104,\N,\N,10.95,106.07408227,-10.50682727,07 04 17.78,-10 30 24.6,64.96,2.74,15.3941,-118.4,-817.34,\N,\N,10.013230081165595,0.0916466547811492,\N,\N,1.535,\N
