HIP,HD,BD,CoD,CPD,B_minus_V,BT_minus_VT,MV,MVt,SpType
HIP 26369,\N,\N,\N,\N,1.171,1.384,7.916066674006793,7.778066674006793,\N
HIP 64048,\N,B+35 2406,\N,\N,1.178,1.443,7.391070114831477,7.542070114831477,K3III
HIP 110640,\N,B+21 4747,\N,\N,1.18,1.465,7.178443540281041,7.35644354028104,M0
HIP 34052,53680,\N,C-43  2904,P-43  1184,1.18,1.404,7.520207771598343,7.670207771598344,K5V...
HIP 83101,153026,\N,C-39 10940,\N,1.181,1.372,6.922508444336372,7.089508444336372,K3/K4V
HIP 90959,171314,B+22 3406,\N,\N,1.181,1.4,7.050613214296561,7.166613214296561,K4V
HIP 12493,\N,B+00  444,\N,\N,1.185,1.504,7.768328019614678,7.951328019614678,M0
HIP 45637,80545,\N,C-57  2585,P-57  1976,1.185,1.365,7.666538200368745,7.892538200368746,K7V
HIP 87773,\N,B+33 2990,\N,\N,1.185,1.494,8.14628141462571,8.37828141462571,K7
HIP 66886,119291,B-00 2725,\N,\N,1.186,1.459,7.315539937215971,7.45853993721597,K7V
HIP 118310,224660,B+05 5244,\N,\N,1.187,1.405,6.829133885366116,7.076133885366116,K5
HIP 73631,\N,\N,C-45  9610,P-45  7173,1.188,1.651,7.892210331303616,7.949210331303616,K5V
HIP 13258,17660,B+15  395,\N,\N,1.194,1.427,7.117161116208083,7.268161116208084,K5
HIP 81348,149957,B+31 2875,\N,\N,1.2,1.407,7.447549044973273,7.588549044973273,K5
HIP 108567,\N,\N,C-61  6651,P-61  6606,1.202,1.424,7.699361313291663,7.891361313291664,K7
HIP 46417,\N,B+81  297,\N,\N,1.205,1.432,7.464442123525378,7.59044212352538,K8
HIP 19165,\N,B-21  784,\N,\N,1.206,1.45,7.843987427833552,7.992987427833553,K7
HIP 19832,\N,B-04  782,\N,\N,1.209,1.366,7.828763480695784,7.965763480695783,K5V
HIP 29548,\N,B+63  639,\N,\N,1.21,1.389,7.700831573038103,7.809831573038103,M0
HIP 19333,\N,\N,C-59   788,P-59   314,1.211,1.328,7.666992756406246,7.786992756406245,K4V
HIP 60866,108581,B-17 3632,\N,\N,1.218,1.387,7.25518028125261,7.401180281252609,K4V
HIP 117559,\N,B+29 5007,\N,\N,1.226,1.481,7.373289860239355,7.541289860239356,M0
HIP 55052,\N,\N,C-29  8959,\N,1.226,1.454,8.342858317410705,8.457858317410706,\N
HIP 77908,142288,\N,C-25 11183,P-25  5688,1.234,1.516,7.180235037727195,7.324235037727195,K5V
HIP 101955,196795,B+04 4510,\N,\N,1.241,1.453,6.53471846713868,6.740718467138679,K5V
HIP 29067,\N,\N,\N,\N,1.25,1.501,7.766804621741903,7.9068046217419035,K8
HIP 3588,4378,\N,C-42   249,P-42    68,1.251,1.439,6.866270912904415,6.947270912904415,K5V comp SB
HIP 57493,\N,B+51 1697,\N,\N,1.252,1.507,7.553164947450185,7.725164947450185,M0V:p
HIP 65327,238224,B+58 1441,\N,\N,1.262,1.394,7.691596648758305,7.852596648758307,M0V
HIP 90979,\N,B-11 4672,\N,\N,1.263,1.334,8.00417177791659,8.030171777916589,K7V
HIP 99880,\N,\N,\N,\N,1.266,1.509,8.042329819765712,8.241329819765713,M0
HIP 17157,\N,\N,C-48  1042,P-48   389,1.267,1.493,7.591596648758306,7.759596648758305,K7
HIP 39494,\N,B+44 1710,\N,\N,1.27,1.578,7.810785404580862,7.992785404580863,M0
HIP 54288,\N,\N,C-35  6972,P-35  4610,1.27,1.509,7.581439079760653,7.759439079760654,K5
HIP 55691,99279,\N,C-60  3532,P-60  2911,1.271,1.65,6.66874887632019,8.20874887632019,K7V+...
HIP 66840,119217,B+00 3090,\N,\N,1.288,1.412,7.886047626909405,8.017047626909406,M0V
HIP 69962,125354,B-05 3853,\N,\N,1.29,1.572,7.435396027321083,7.580396027321083,K7V
HIP 71914,\N,B+20 3010,\N,\N,1.29,1.566,7.343751063490098,7.434751063490099,M0
HIP 6344,\N,B+79   38,\N,\N,1.292,1.518,7.757098733685884,7.876098733685883,K8
HIP 46549,\N,B-04 2639,\N,\N,1.305,1.512,7.880411304953398,8.107411304953398,M0:
HIP 72387,\N,B+39 2801,\N,\N,1.308,1.614,7.807646118185666,8.008646118185665,M2
HIP 34673,\N,B-14 1750,\N,\N,1.311,1.325,7.937481109127873,8.093481109127872,\N
HIP 65343,116495,B+29 2405,\N,\N,1.321,1.014,7.54076209032607,7.2567620903260694,K5
HIP 107522,206804,\N,C-58  8156,P-58  7893,1.322,1.602,7.373276782758621,7.566276782758621,K7V
HIP 67308,120036,\N,C-31 10649,P-31  3672,1.322,1.632,7.0591395999793285,7.226139599979328,K5/M1V+K5
HIP 1692,1690,B-09   54,\N,\N,1.354,1.617,7.378449095592007,7.503449095592007,K2
HIP 17207,\N,B+03  515,\N,\N,1.36,1.778,7.613231178311972,7.842231178311973,Mp
HIP 66212,118036,B+00 3075,\N,\N,1.521,1.078,5.435507584834562,5.682507584834564,K4III
