HIP, HD, BD, CoD, CPD, B-V, BT-VT, MV, MVt, SpType
24472,\N,\N,\N,\N,1.52,\N,9.653142130646625,\N,"M:"
103655,\N,\N,\N,\N,1.52,1.807,9.224617939406588,9.662617939406587,"M3Ve"
65520,\N,\N,"C-27  9225",\N,1.522,\N,9.984375578877085,\N,"M"
83043,\N,"B+25 3173",\N,\N,1.522,1.767,9.631618885253827,9.768618885253828,"M2"
18115,\N,\N,\N,\N,1.523,\N,9.560894628740115,\N,\N
21932,"285968","B+18  683",\N,\N,1.523,\N,10.079804549281896,\N,"M2"
112800,\N,\N,\N,\N,1.523,\N,10.333991984354526,\N,\N
98906,\N,\N,\N,\N,1.524,\N,10.984615909066092,\N,"M3"
115332,\N,\N,\N,\N,1.524,\N,11.554058054362589,\N,"M:"
113602,\N,\N,"C-24 17443",\N,1.526,\N,10.01761761084077,\N,"M1"
52190,\N,\N,\N,\N,1.529,\N,10.19464548230288,\N,\N
1322,\N,\N,\N,\N,1.53,\N,10.637359260995211,\N,"M4"
17750,\N,\N,\N,\N,1.53,1.369,8.209471870127498,9.226471870127497,"M2..."
103441,\N,\N,\N,\N,1.533,\N,11.303741678148295,\N,"M3"
34104,\N,\N,\N,\N,1.535,\N,10.013230081165595,\N,"M5"
1720,\N,\N,\N,\N,1.537,\N,10.709188629336229,\N,"M6"
65714,\N,\N,\N,\N,1.539,\N,10.474638566135393,\N,"M4+..."
15439,\N,\N,"C-36  1252",\N,1.54,\N,10.282544038282607,\N,\N
66077,\N,\N,\N,\N,1.54,\N,10.686476967633478,\N,"M4Ve"
112460,\N,"B+43 4305",\N,\N,1.54,1.658,11.774093507902442,11.880093507902444,"M4.5Ve"
94349,\N,\N,\N,\N,1.542,\N,11.058503474101752,\N,"M4"
46706,\N,"B-12 2918",\N,\N,1.545,1.929,9.947474845365184,10.208474845365183,"M2"
84277,\N,\N,\N,\N,1.548,\N,10.61152393437164,\N,"M1V:"
104137,\N,\N,\N,\N,1.548,\N,10.328926064934102,\N,\N
16445,\N,\N,\N,\N,1.55,\N,10.359117502286391,\N,"M3"
42762,\N,\N,\N,\N,1.55,\N,10.879817608570068,\N,"M5"
102141,"196982",\N,"C-32 16135",\N,1.55,\N,10.221694273938008,\N,"Mpe"
117059,\N,\N,\N,\N,1.55,\N,12.004733639843083,\N,"M5"
33142,\N,\N,\N,\N,1.552,\N,10.87610123426117,\N,"M:"
82817,"152751","B-08 4352",\N,\N,1.553,1.777,10.22561468311425,10.41061468311425,"M3Ve"
109638,\N,\N,\N,\N,1.553,\N,11.275757513437465,\N,"M3"
4569,\N,\N,"C-28   302",\N,1.558,\N,11.183191808480192,\N,\N
68570,\N,\N,\N,\N,1.559,1.589,9.22677387917198,9.34377387917198,"M0"
84790,\N,\N,\N,\N,1.56,\N,10.911888862161975,\N,"M4"
108159,\N,\N,\N,\N,1.56,\N,11.091664224497048,\N,"M3"
73252,\N,"B+60 1577",\N,\N,1.565,1.449,8.207583918250052,8.268583918250052,"M0p"
77349,\N,\N,\N,\N,1.565,\N,10.306321776380535,\N,"K:..."
49969,\N,\N,\N,\N,1.566,\N,10.188582266171725,\N,"M0"
5496,\N,\N,"C-68    47","P-68    41",1.568,1.854,10.247052554917722,10.434052554917724,"K"
41554,\N,\N,\N,\N,1.568,1.914,9.303378963632685,9.355378963632685,"M0V"
107711,\N,\N,\N,\N,1.57,\N,10.878448328427577,\N,"M6"
108890,\N,\N,\N,\N,1.57,\N,10.397643700659913,\N,"M4"
110526,\N,\N,\N,\N,1.57,\N,9.668253588535865,\N,"M0..."
64113,\N,\N,\N,\N,1.575,\N,9.791994230577819,\N,"M0"
22738,\N,\N,"C-56  1032",\N,1.58,\N,10.488387186716503,\N,"M2Ve"
4927,\N,\N,\N,\N,1.59,\N,10.294821297178665,\N,"M"
22627,\N,\N,\N,\N,1.59,\N,11.522796096505571,\N,"M4"
70975,\N,\N,\N,\N,1.591,\N,11.685414219560434,\N,"M4"
76901,\N,\N,\N,\N,1.591,\N,12.259305868942251,\N,"M5"
86346,"160934",\N,\N,\N,1.591,1.549,8.340638065379977,8.370638065379978,"M..."
