HIP,designation_DR3,designation_DR2,designation_DR1,hipparcos_parallax,hipparcos_parallax_error,simbad_parallax,simbad_parallax_error
HIP 107522,Gaia DR3 6458881569025875840,\N,\N,52.56,1.88,53.68,1.4
HIP 8382,Gaia DR3 97993497084921984,Gaia DR2 97993497084921984,\N,48.23,4.35,53.7337,0.0362
HIP 80440,Gaia DR3 6051948158061617024,Gaia DR2 6051948158061617024,\N,55.81,2.19,53.7389,0.0213
HIP 117059,Gaia DR3 2871730307948650368,Gaia DR2 2871730307948650368,\N,60.11,11.58,53.7619,0.0269
HIP 29525,Gaia DR3 3330062833797919744,Gaia DR2 3330062833797919744,\N,55.2,0.96,53.7653,0.0317
HIP 35550,Gaia DR3 866177431955478144,Gaia DR2 866177431953646464,\N,55.45,0.85,53.7692,0.2403
HIP 10531,Gaia DR3 520377795206114688,Gaia DR2 520377795206114688,Gaia DR1 520377790907068416,42.46,2.51,53.8413,0.0167
HIP 67620,Gaia DR3 6190970236474307200,Gaia DR2 6190970236474307200,\N,50.2,0.85,53.8785,0.3427
HIP 42881,Gaia DR3 5522248295266281472,Gaia DR2 5522248290957129088,\N,54.68,3.89,53.89,2.2
HIP 84616,Gaia DR3 1416124285987232256,Gaia DR2 1416124285987232256,Gaia DR1 1416124281691048192,53.97,0.68,53.9817,0.015
HIP 81018,Gaia DR3 4459548626016199168,Gaia DR2 4459548724797475200,\N,61.08,5.13,54.0197,0.0436
HIP 105312,Gaia DR3 6791154257817212672,Gaia DR2 6791154257817212672,\N,53.4,1.09,54.0288,0.2927
HIP 18915,Gaia DR3 219057458247921536,Gaia DR2 219057458247921536,\N,54.14,1.08,54.0422,0.026
HIP 100223,Gaia DR3 6669657123437047424,Gaia DR2 6669657123437047424,Gaia DR1 6669657119140102400,55.73,1.29,54.0441,0.0287
HIP 104858,Gaia DR3 1743871762876699776,Gaia DR2 1743871762876699776,\N,54.11,0.85,54.09,0.66
HIP 44295,Gaia DR3 610304720934423424,Gaia DR2 610304720934423424,Gaia DR1 610304716638785664,54.57,3.21,54.1456,0.0189
HIP 38939,Gaia DR3 5698188160215537920,Gaia DR2 5698188160215537920,Gaia DR1 5698188155904152960,54.91,1.15,54.1565,0.0183
HIP 109422,Gaia DR3 6612242034982766848,Gaia DR2 6612242034982766848,\N,53.36,0.82,54.1773,0.094
HIP 32362,Gaia DR3 3352485999058854912,Gaia DR2 3352485999057276672,\N,57.02,0.83,54.1894,0.2369
HIP 19921,Gaia DR3 4678664766393829504,Gaia DR2 4678664766394767616,\N,54.84,0.5,54.2286,0.1019
HIP 42499,Gaia DR3 602079652404802688,Gaia DR2 602079652404802688,Gaia DR1 602079648108533888,53.98,1.04,54.2513,0.0225
HIP 96441,Gaia DR3 2135110401277424384,Gaia DR2 2135110401277424384,\N,53.78,0.47,54.2702,0.086
HIP 85561,Gaia DR3 4111366313257506560,Gaia DR2 4111366313257506560,Gaia DR1 4111366343268238848,55.03,1.68,54.3668,0.022
HIP 60398,Gaia DR3 1584088431025057792,Gaia DR2 1584088431025057792,\N,55.5,2.27,54.4474,0.0194
HIP 54810,Gaia DR3 3815264842546968192,Gaia DR2 3815264842546968192,Gaia DR1 3815264838251197440,55.72,1.29,54.5058,0.0211
HIP 33690,Gaia DR3 5479222240596469632,Gaia DR2 5479222240596469632,Gaia DR1 5479222236299064832,54.33,0.54,54.5252,0.0145
HIP 69485,Gaia DR3 3640244581637740416,Gaia DR2 3640244581637740416,\N,51.06,1.74,54.5892,0.0189
HIP 104059,Gaia DR3 6882393725554653056,Gaia DR2 6882393725554653056,\N,52.26,3.06,54.6176,0.0171
HIP 49699,Gaia DR3 747266452000257280,Gaia DR2 747266452000257280,Gaia DR1 747266447704593408,55.37,0.94,54.6678,0.0295
HIP 26394,Gaia DR3 4623036865373793408,Gaia DR2 4623036865373793408,Gaia DR1 4623036826718164480,54.92,0.45,54.6825,0.0354
HIP 116763,Gaia DR3 2324785228033780608,Gaia DR2 2324785228033780608,Gaia DR1 2324785223738537984,53.52,0.86,54.7193,0.0254
HIP 83541,Gaia DR3 6029992663310612096,Gaia DR2 6029992663310612096,\N,55.31,0.89,54.726,0.0236
HIP 89517,Gaia DR3 4497494077967197568,Gaia DR2 4497494077967197568,Gaia DR1 4497494073667422336,52.57,4.26,54.7331,0.0159
HIP 83389,Gaia DR3 1359938520253565952,Gaia DR2 1359938520253565952,Gaia DR1 1359938515958232576,55.37,0.55,54.7359,0.0176
HIP 46816,Gaia DR3 5739942011185493888,Gaia DR2 5739942011185493888,Gaia DR1 5739942006889651584,54.52,0.99,54.7362,0.0244
HIP 55066,Gaia DR3 3561574971346845440,Gaia DR2 3561574971346845440,Gaia DR1 3561574967051518080,56.87,1.68,54.7921,0.0192
HIP 61174,Gaia DR3 3526420114274019456,Gaia DR2 3526420114272476800,\N,54.92,0.66,54.8135,0.1562
HIP 64583,Gaia DR3 6062166950467100032,Gaia DR2 6062166950455775232,\N,55.49,0.65,54.8247,0.0809
HIP 56466,Gaia DR3 3540112504374165888,Gaia DR2 3540112504374165888,Gaia DR1 3540112500078348416,56.35,2.06,54.8476,0.0248
HIP 35495,Gaia DR3 893214796542513280,Gaia DR2 893214796542513280,Gaia DR1 893214796542513280,50.59,2.45,54.8692,0.0302
HIP 40843,Gaia DR3 683184784030475520,Gaia DR2 683184784030475520,\N,55.17,0.93,54.8749,0.0906
HIP 46509,Gaia DR3 3837697972130323456,Gaia DR2 3837697972130323456,\N,58.48,3.8,54.9187,0.4523
HIP 22907,Gaia DR3 4879850208590379904,Gaia DR2 4879850208590379904,Gaia DR1 4879850204293068160,55.67,0.9,54.9199,0.0173
HIP 32439,Gaia DR3 1141280704422528128,Gaia DR2 1141280704422528128,\N,56.02,0.53,54.938,0.0595
HIP 72567,Gaia DR3 1265976524286377856,Gaia DR2 1265976524286377856,\N,55.73,0.8,54.9502,0.0343
HIP 61413,Gaia DR3 3903318372263850368,Gaia DR2 3903318372263850368,Gaia DR1 3903318367968260224,55.79,2.75,54.9739,0.0269
HIP 55846,Gaia DR3 3812355328621651328,Gaia DR2 3812355328621651328,Gaia DR1 3812355324326277760,56.59,1.4,55.009,0.024
HIP 84460,Gaia DR3 4540061704989418240,Gaia DR2 4540061704988054400,Gaia DR1 4540061700691048576,55.24,2.22,55.0169,0.0287
HIP 55848,Gaia DR3 3812355294262255104,Gaia DR2 3812355294261019904,Gaia DR1 3812355324326780544,55.59,3.31,55.0618,0.0304
HIP 66147,Gaia DR3 3719665845564967552,Gaia DR2 3719665841269118720,Gaia DR1 3719665841269118720,54.15,1.03,55.1239,0.0266
HIP 107350,Gaia DR3 1772187382746856320,Gaia DR2 1772187382746856320,\N,54.37,0.85,55.148,0.0348
HIP 36357,Gaia DR3 892215482207937152,Gaia DR2 892215482207937152,Gaia DR1 892215477911193856,56.98,1.24,55.1857,0.0234
HIP 94557,Gaia DR3 4516199313406309504,Gaia DR2 4516199240734836608,\N,52.45,2.75,55.1862,0.0439
HIP 14731,Gaia DR3 4267552520347776,Gaia DR2 4267552520347776,Gaia DR1 4267548224787200,57.53,4.24,55.2406,0.0328
HIP 6069,Gaia DR3 2564324345929277184,Gaia DR2 2564324345929277184,Gaia DR1 2564324345929277184,65.3,14.87,55.2482,0.0214
HIP 65721,Gaia DR3 3740176925743994752,Gaia DR2 3740176925743650688,Gaia DR1 3740176921448479488,55.22,0.73,55.2511,0.0779
HIP 95995,Gaia DR3 2238597054155896832,Gaia DR2 2238597054155896832,Gaia DR1 2238597049857612160,59.84,0.64,55.2767,0.3519
HIP 46843,Gaia DR3 646255212109355136,Gaia DR2 646255212109355136,Gaia DR1 646255207814240896,56.35,0.89,55.3291,0.0206
HIP 36366,Gaia DR3 892160231749198848,Gaia DR2 892160231748668800,\N,54.06,0.95,55.41,0.24
HIP 1734,Gaia DR3 2316867885320845696,Gaia DR2 2316867885320845696,Gaia DR1 2316867881025472640,54.91,2.19,55.4757,0.0204
HIP 49973,Gaia DR3 5669429299704388352,Gaia DR2 5669429299703228416,\N,58.59,1.66,55.4931,0.3966
HIP 47690,Gaia DR3 819750862709551360,Gaia DR2 819750862709217408,\N,56.23,1.12,55.5758,0.0258
HIP 69965,Gaia DR3 6270906415441316224,Gaia DR2 6270906415441316224,\N,56.23,0.94,55.59,0.0531
HIP 83006,Gaia DR3 1408029436569383296,Gaia DR2 1408029436569383296,Gaia DR1 1408029436569383296,57.13,0.71,55.7183,0.0159
HIP 83020,Gaia DR3 1408029509584967168,Gaia DR2 1408029509584967168,Gaia DR1 1408029505288859904,55.71,1.21,55.7508,0.0164
HIP 98959,Gaia DR3 6427244702486210816,Gaia DR2 6427244702486210816,\N,56.45,0.74,55.7654,0.0245
HIP 54872,Gaia DR3 3990320597065899776,\N,\N,56.52,0.83,55.82,0.25
HIP 98204,Gaia DR3 4188997606567280384,Gaia DR2 4188997606565774976,Gaia DR1 4188997602265564288,52.92,1.48,55.8238,0.0247
HIP 1936,Gaia DR3 2322574488107786624,Gaia DR2 2322574488107786624,Gaia DR1 2322574689970470784,55.53,1.08,55.8243,0.0247
HIP 17749,Gaia DR3 493650660400463488,Gaia DR2 493650660400463488,Gaia DR1 493650656101587712,57.53,2.68,55.8254,0.0135
HIP 3206,Gaia DR3 369092520004831232,Gaia DR2 369092520004831232,\N,57.9,0.98,55.8412,0.0235
HIP 79248,Gaia DR3 1385293808145621504,Gaia DR2 1385293808145621504,Gaia DR1 1385293803850022528,55.11,0.59,55.8657,0.0291
HIP 78843,Gaia DR3 6244076338858859776,Gaia DR2 6244076338858859776,Gaia DR1 6244076334563088000,53.93,1.11,55.8809,0.2207
HIP 117966,Gaia DR3 2442996678074668288,Gaia DR2 2442996678074668288,Gaia DR1 2442996673778447616,57.97,11.8,55.92,0.0439
HIP 45383,Gaia DR3 579567598501642368,Gaia DR2 579567598502090240,\N,54.25,1.14,55.9338,0.1607
HIP 75312,Gaia DR3 1276781047094217216,\N,\N,53.7,1.24,55.98,0.78
HIP 25421,Gaia DR3 2904830113367963264,Gaia DR2 2904830113367963264,Gaia DR1 2904830109071031808,55.76,0.76,55.9858,0.0165
HIP 54227,Gaia DR3 3868080055385587840,Gaia DR2 3868080055385587840,\N,54.9,4.62,55.9882,0.0213
HIP 39826,Gaia DR3 676689831406224128,Gaia DR2 676689831406224128,Gaia DR1 676689861469564544,58.42,2.51,56.0084,0.0204
HIP 65109,Gaia DR3 6165699748417797504,Gaia DR2 6165699748415726848,\N,55.64,0.74,56.0571,1.1147
HIP 73457,Gaia DR3 6313600142709958144,Gaia DR2 6313600142709958144,Gaia DR1 6313600138413615744,51.26,1.76,56.0678,0.0258
HIP 64241,Gaia DR3 3937881211045638400,\N,\N,69.81,27.58,56.1,0.89
HIP 63253,Gaia DR3 1515952176488267008,Gaia DR2 1515952176488267008,\N,55.27,3.15,56.1107,0.2844
HIP 42267,Gaia DR3 657608666099404544,Gaia DR2 657608666099404544,\N,52.66,15.21,56.1118,0.0247
HIP 89042,Gaia DR3 6634032740544236032,Gaia DR2 6634032740544236032,\N,56.32,0.68,56.1961,0.2674
HIP 17651,Gaia DR3 5087043657197267200,Gaia DR2 5087043652900059520,\N,55.79,0.69,56.2281,0.1393
HIP 38594,Gaia DR3 5602386058511578368,Gaia DR2 5602386058511578368,Gaia DR1 5602386058511578368,51.16,1.57,56.2356,0.0127
HIP 77801,Gaia DR3 1191518146611956096,Gaia DR2 1191518146611956096,Gaia DR1 1191565077715820160,57.27,0.88,56.2405,0.2206
HIP 98819,Gaia DR3 1821708351374312064,Gaia DR2 1821708351374312064,Gaia DR1 1821708351374312064,56.6,0.76,56.2693,0.0433
HIP 52341,Gaia DR3 5443051537858529792,Gaia DR2 5443051537858529792,Gaia DR1 5443039782529956480,61.18,3.85,56.3104,0.016
HIP 57507,Gaia DR3 3480332916165099904,Gaia DR2 3480332916165099904,Gaia DR1 3480332911869120256,56.26,0.77,56.3626,0.0169
HIP 72237,Gaia DR3 1234693112077610880,Gaia DR2 1234693112077610880,Gaia DR1 1234693112077610880,56.87,1.29,56.3664,0.0163
HIP 106147,Gaia DR3 6891134705556330880,Gaia DR2 6891134705556330880,\N,55.38,1.42,56.4265,0.0236
HIP 22451,Gaia DR3 4866978844438656768,Gaia DR2 4866978844438656768,Gaia DR1 4866978840143847680,55.59,0.71,56.5374,0.0144
HIP 82834,Gaia DR3 6026895540811552512,Gaia DR2 6026895540811552512,\N,53.54,1.69,56.5381,0.0171
HIP 15799,Gaia DR3 4852870701505115904,Gaia DR2 4852870701504645376,Gaia DR1 4852870697208723968,58.53,1.04,56.557,0.027
HIP 96085,Gaia DR3 4187837450005193088,Gaia DR2 4187837450005193088,Gaia DR1 4187837445704846208,55.5,0.9,56.5657,0.0227
HIP 38931,Gaia DR3 3083867749248355456,Gaia DR2 3083867749248355456,Gaia DR1 3083867744950459392,57.26,1.45,56.6412,0.0254
HIP 92444,Gaia DR3 4072260704719970944,Gaia DR2 4072260704719970944,\N,57.87,1.92,56.6602,0.018
HIP 55119,Gaia DR3 3531296963739811200,Gaia DR2 3531296963739811200,Gaia DR1 3531296959443397760,56.96,1.4,56.6859,0.0144
HIP 106557,Gaia DR3 2171727299589482112,Gaia DR2 2171727299572390400,\N,57.37,2.59,56.7154,0.0327
HIP 1696,Gaia DR3 4978671015158662528,Gaia DR2 4978671015158662528,Gaia DR1 4978671079582592512,55.68,2.02,56.848,0.0191
HIP 9007,Gaia DR3 4937200425857908992,Gaia DR2 4937200425855463936,\N,57.19,0.62,56.8508,0.1628
HIP 64792,Gaia DR3 3732539683617410816,Gaia DR2 3732539683617410816,\N,55.71,0.85,56.8577,0.1224
HIP 34361,Gaia DR3 2929062902976882304,Gaia DR2 2929062902976882304,Gaia DR1 2929062898670450048,58.04,2.46,56.9336,0.0173
HIP 18450,Gaia DR3 4843073709303881728,Gaia DR2 4843073709303881728,Gaia DR1 4843073705007387392,56.69,0.9,56.9352,0.014
HIP 63618,Gaia DR3 6187271616797377152,Gaia DR2 6187271616797377152,Gaia DR1 6187271612501676160,56.87,1.11,56.9407,0.1946
HIP 62207,Gaia DR3 1521686782461765888,Gaia DR2 1521686782461765888,Gaia DR1 1521686709446648448,57.57,0.64,56.9588,0.0323
HIP 1292,Gaia DR3 4634528720388462592,Gaia DR2 4634528720388462592,\N,56.76,0.53,56.9644,0.0192
HIP 17743,Gaia DR3 3270590765246119168,Gaia DR2 3270590765246119168,Gaia DR1 3270590760948633472,57.59,2.56,56.987,0.0244
HIP 51547,Gaia DR3 854769861377131520,Gaia DR2 854769861377131520,Gaia DR1 854769857080593152,57.18,1.31,57.01,0.0137
HIP 84893,Gaia DR3 4115142207982341504,Gaia DR2 4115142276696645632,\N,57.48,0.93,57.082,0.1851
HIP 80644,Gaia DR3 4439625337884136064,Gaia DR2 4439625337884136064,Gaia DR1 4439625333582465024,56.43,1.31,57.0866,0.0234
HIP 78459,Gaia DR3 1323427759184545536,Gaia DR2 1323427759184545536,\N,57.38,0.71,57.1076,0.0508
HIP 46488,Gaia DR3 5745027080665197696,Gaia DR2 5745027080665197696,\N,58.17,4.02,57.1821,0.0206
HIP 100017,Gaia DR3 2246581329639103872,Gaia DR2 2246581329639103872,\N,56.92,0.52,57.2041,0.0208
HIP 523,Gaia DR3 4899957905439568256,Gaia DR2 4899957905439144320,Gaia DR1 4899957901143352576,56.92,2.73,57.2316,0.0348
HIP 25283,Gaia DR3 4819591920506512768,Gaia DR2 4819591920506512768,Gaia DR1 4819591916209544320,56.36,0.97,57.2706,0.0149
HIP 70319,Gaia DR3 3654496279558010624,Gaia DR2 3654496279558010624,\N,56.82,1.04,57.2706,0.0375
HIP 89560,Gaia DR3 2115454019586473600,Gaia DR2 2115454019586473600,Gaia DR1 2115454015289483136,58.47,1.11,57.3415,0.0111
HIP 33277,Gaia DR3 3381727613874753536,Gaia DR2 3381727613874753536,\N,57.89,0.9,57.4559,0.0907
HIP 6005,Gaia DR3 5013816835621197440,Gaia DR2 5013816835621197440,Gaia DR1 5013816831325440128,60.61,2.38,57.4612,0.0195
HIP 76829,Gaia DR3 5989102478619519616,Gaia DR2 5989102478619519616,\N,57.09,0.72,57.4759,0.1312
HIP 21482,Gaia DR3 151650076838458112,Gaia DR2 151650076838458112,Gaia DR1 151650072541569280,56.02,1.21,57.4873,0.0471
HIP 104239,Gaia DR3 6885342959337741184,Gaia DR2 6885342959337741184,Gaia DR1 6885342955042380032,56.67,1.18,57.524,0.0209
HIP 12653,Gaia DR3 4745373133284418816,Gaia DR2 4745373133284418816,Gaia DR1 4745373128987792640,58.0,0.55,57.6131,0.0383
HIP 7978,Gaia DR3 4912580642524184960,Gaia DR2 4912580642524184960,Gaia DR1 4912580638228584832,57.63,0.64,57.6409,0.0453
HIP 34052,Gaia DR3 5559266893257154176,Gaia DR2 5559266893257154176,\N,58.89,0.94,57.7938,0.3355
HIP 53486,Gaia DR3 3865002247461685248,Gaia DR2 3865002247461685248,Gaia DR1 3865002243166599552,56.98,1.03,57.8024,0.02
HIP 39342,Gaia DR3 5274724279107404544,Gaia DR2 5274724274807870336,Gaia DR1 5274724274807870336,57.88,0.58,57.8659,0.0167
HIP 45617,Gaia DR3 695614900422221440,\N,\N,57.05,1.08,57.92,0.76
HIP 74537,Gaia DR3 4418203587193988480,Gaia DR2 4418203587193988480,Gaia DR1 4418203411099890048,57.8,0.85,57.9205,0.03
HIP 67960,\N,\N,Gaia DR1 6176833914259261568,59.57,2.65,57.93,1.48
HIP 32010,Gaia DR3 3382815271394515072,Gaia DR2 3382815271394515072,\N,57.07,1.37,57.9451,0.0233
HIP 17405,Gaia DR3 43335537119385216,Gaia DR2 43335537119008896,Gaia DR1 43335532821872896,61.4,2.37,58.0276,0.0291
HIP 17414,Gaia DR3 43335880716390784,Gaia DR2 43335880716390784,Gaia DR1 43335876419256448,58.09,1.98,58.0361,0.0183
HIP 69526,Gaia DR3 1453180404823190912,Gaia DR2 1453180404823190912,Gaia DR1 1453180400527494144,57.78,1.05,58.0586,0.0228
HIP 14669,Gaia DR3 434690036555954304,Gaia DR2 434690036554889856,\N,64.83,4.26,58.1231,0.5901
HIP 69064,Gaia DR3 1715791060537076608,Gaia DR2 1715791060537076608,\N,60.4,5.38,58.1479,0.0185
HIP 25716,Gaia DR3 3390818582171734656,Gaia DR2 3390818582171734656,Gaia DR1 3390818577875037440,57.5,2.16,58.1993,0.0216
HIP 8691,Gaia DR3 2460983348274381696,Gaia DR2 2460983348274381696,\N,56.35,3.05,58.2409,0.0273
HIP 86736,Gaia DR3 4117290138348536064,Gaia DR2 4117290138348536064,\N,57.0,0.79,58.2437,0.1484
HIP 38784,Gaia DR3 1139252071109797760,Gaia DR2 1139252071109797760,Gaia DR1 1139252066816724992,58.67,0.57,58.2919,0.0196
HIP 11452,Gaia DR3 2515752565074318720,Gaia DR2 2515752565074318720,\N,60.22,1.75,58.33,1.08
HIP 118212,Gaia DR3 1927184643563033856,Gaia DR2 1927184643563033856,\N,57.62,2.82,58.4067,0.8984
HIP 88694,Gaia DR3 4038724053986441856,Gaia DR2 4038724053986441856,\N,57.58,0.77,58.4296,0.0404
HIP 62523,Gaia DR3 3957887649746830976,Gaia DR2 3957887649746830976,\N,58.23,0.99,58.4858,0.0293
HIP 39157,Gaia DR3 876370076542359936,Gaia DR2 876370076542359936,Gaia DR1 876370072246327680,59.52,0.77,58.53,0.0193
HIP 32560,Gaia DR3 943770757800160384,Gaia DR2 943770757800160384,\N,64.91,3.37,58.5336,0.0436
HIP 73734,Gaia DR3 1615982823805660544,Gaia DR2 1615982823805660544,\N,56.94,1.44,58.5446,0.0148
HIP 34069,Gaia DR3 5559265690666327168,Gaia DR2 5559265690666327168,Gaia DR1 5559265686368291456,66.29,6.81,58.6179,0.0126
HIP 34065,Gaia DR3 5559265690666326016,Gaia DR2 5559265690666326016,Gaia DR1 5559265686368291200,61.54,1.05,58.6192,0.0477
HIP 47619,Gaia DR3 5677606810060597248,Gaia DR2 5677606810060597248,Gaia DR1 5677606810060597248,61.35,3.22,58.6305,0.0205
HIP 6379,Gaia DR3 560130775546153344,Gaia DR2 560130775546153344,Gaia DR1 560130771247957248,59.46,0.59,58.8125,0.0168
HIP 91608,Gaia DR3 4105386688016878336,Gaia DR2 4105386718001211392,Gaia DR1 4105386718001211392,61.63,2.09,58.8412,0.0298
HIP 35821,Gaia DR3 974536192658255104,Gaia DR2 974536192658255104,Gaia DR1 974536188360909440,61.68,1.91,58.9029,0.0224
HIP 93858,Gaia DR3 6718894388002453120,Gaia DR2 6718894388002453120,\N,58.24,0.91,58.986,0.0376
HIP 79126,Gaia DR3 1428030622526979968,Gaia DR2 1428030622526979968,Gaia DR1 1428030618230355712,58.53,1.06,58.9971,0.0133
HIP 118200,Gaia DR3 2746709861572970624,Gaia DR2 2746709861572970624,\N,58.62,2.92,59.0942,0.278
HIP 92283,Gaia DR3 4503794795019024000,Gaia DR2 4503794795019024000,Gaia DR1 4503794859403941248,57.79,0.97,59.2345,0.0192
HIP 94739,Gaia DR3 6664255566408783872,Gaia DR2 6664255566408783872,\N,63.43,2.16,59.2783,0.6441
HIP 65016,Gaia DR3 1472718211053416320,Gaia DR2 1472718211053416320,Gaia DR1 1472718206757028480,57.52,2.3,59.3148,0.0186
HIP 63550,Gaia DR3 5863130980814698112,Gaia DR2 5863130980814698112,Gaia DR1 5863130980430698112,59.46,2.13,59.3387,0.0149
HIP 35136,Gaia DR3 974887555341533440,Gaia DR2 974887555341533440,\N,59.31,0.69,59.3408,0.0535
HIP 43726,Gaia DR3 5760701787150565888,Gaia DR2 5760701787150565888,\N,58.5,0.88,59.3595,0.0408
HIP 116085,Gaia DR3 2011251030583236352,Gaia DR2 2011251030583236352,Gaia DR1 2011251030583236352,59.31,0.67,59.367,0.0169
HIP 12351,Gaia DR3 4726387007013852672,Gaia DR2 4726387007013852672,\N,60.51,1.3,59.37,1.22
HIP 32769,Gaia DR3 1003351437484254464,Gaia DR2 1003351437484254464,Gaia DR1 1003351055230895744,60.96,1.3,59.3934,0.0248
HIP 99427,Gaia DR3 2290483248388179328,Gaia DR2 2290483248388179328,\N,59.53,0.72,59.4184,0.0142
HIP 17695,Gaia DR3 3250328209054347264,Gaia DR2 3250328209054347264,Gaia DR1 3250328273477242624,61.45,3.02,59.432,0.0288
HIP 19076,Gaia DR3 53112944270520832,Gaia DR2 53112944270520832,Gaia DR1 53112939972051968,59.79,0.84,59.4728,0.0361
HIP 82588,Gaia DR3 4381250547575102208,Gaia DR2 4381250547575102208,Gaia DR1 4381250989953386368,59.04,0.87,59.4805,0.0232
HIP 746,Gaia DR3 423018377034969216,\N,\N,59.89,0.56,59.58,0.38
HIP 1463,Gaia DR3 2752746111688997248,Gaia DR2 2752746111688997248,\N,61.67,2.2,59.629,0.025
HIP 105932,Gaia DR3 6898272528885931008,Gaia DR2 6898272524589700608,\N,61.57,2.61,59.6316,0.0328
HIP 72688,Gaia DR3 6229442835525861120,Gaia DR2 6229442835525861120,\N,58.96,1.05,59.6388,0.0275
HIP 92311,Gaia DR3 4511416609607124352,Gaia DR2 4511416609607124352,Gaia DR1 4511416605288965376,58.6,1.6,59.7779,0.0182
HIP 92451,Gaia DR3 6631770869026896512,Gaia DR2 6631770869026896512,Gaia DR1 6631770869026896512,59.94,2.17,59.7805,0.0174
HIP 101955,Gaia DR3 1735416587180214528,Gaia DR2 1735416587178908544,\N,53.82,2.21,59.8,3.42
HIP 43510,Gaia DR3 659951725379878272,Gaia DR2 659951725377466880,\N,55.46,3.5,59.8412,0.0306
HIP 29568,Gaia DR3 2913411183149615744,Gaia DR2 2913411183149615744,Gaia DR1 2913411178849955712,59.9,0.75,59.885,0.0192
HIP 6351,Gaia DR3 4984184825454337408,Gaia DR2 4984184825454337408,Gaia DR1 4984184821157765888,59.29,1.59,59.8974,0.0142
HIP 65143,Gaia DR3 1472903753640492160,Gaia DR2 1472903753640492160,Gaia DR1 1472903749348431744,62.13,1.76,60.0294,0.0193
HIP 41824,Gaia DR3 662732046688476288,Gaia DR2 662732046688476288,\N,78.05,5.69,60.0602,0.0356
HIP 5812,Gaia DR3 4915139584039259392,Gaia DR2 4915139584039259392,Gaia DR1 4915139579743028352,60.76,1.94,60.0984,0.0141
HIP 23147,Gaia DR3 256487136159035136,Gaia DR2 256487136159035136,Gaia DR1 256487131862739072,60.48,1.56,60.1852,0.0198
HIP 32480,Gaia DR3 952326504452337792,Gaia DR2 952326504452337792,\N,60.56,0.73,60.2024,0.0865
HIP 65352,Gaia DR3 3712538708114516736,Gaia DR2 3712538708114516736,Gaia DR1 3712538703818695424,62.41,1.41,60.2817,0.0231
HIP 98906,Gaia DR3 2185710338703934976,Gaia DR2 2185710338703934976,\N,63.23,6.44,60.2958,0.0266
HIP 65355,Gaia DR3 3712538811193759744,Gaia DR2 3712538811193759744,Gaia DR1 3712538600739480192,59.56,2.59,60.3161,0.0251
HIP 91009,Gaia DR3 2145277550935525760,Gaia DR2 2145277550935525760,Gaia DR1 2145277546638822784,60.9,0.73,60.3814,0.0352
HIP 111571,Gaia DR3 2653762573103102592,Gaia DR2 2653762573103102592,Gaia DR1 2653762573103102592,57.04,1.77,60.3836,0.041
HIP 80268,Gaia DR3 6049221163063960320,Gaia DR2 6049221163063960320,\N,59.46,2.05,60.4043,0.0234
HIP 8709,Gaia DR3 356922880493142016,Gaia DR2 356922880493142016,\N,63.08,3.79,60.5643,0.031
HIP 38382,Gaia DR3 3035507276491946368,\N,\N,59.98,0.95,60.59,0.59
HIP 43534,Gaia DR3 1092897519875582592,Gaia DR2 1092897519875582592,Gaia DR1 1092897515579121408,60.63,1.41,60.6141,0.0143
HIP 114233,Gaia DR3 2661803855688028800,Gaia DR2 2661803855688028800,Gaia DR1 2661803851392231680,63.85,2.04,60.6658,0.0215
HIP 107705,Gaia DR3 6371169987426204928,Gaia DR2 6371169987425471232,\N,62.0,2.43,60.7763,0.0689
HIP 67742,Gaia DR3 6093381604489726848,Gaia DR2 6093381604489726848,Gaia DR1 6093381600186443648,60.86,0.95,60.8277,0.1364
HIP 112447,Gaia DR3 2719475542667772416,Gaia DR2 2719475542666622976,\N,61.54,0.77,60.9161,0.1739
HIP 71908,Gaia DR3 5849837854861497856,Gaia DR2 5849837854817580672,\N,60.97,0.58,60.993,0.226
HIP 436,Gaia DR3 4706630501049679744,Gaia DR2 4706630501049679744,Gaia DR1 4706630496753986944,62.48,0.82,61.0064,0.0193
HIP 34115,Gaia DR3 1103079616027292416,Gaia DR2 1103079616027292416,Gaia DR1 1103079611727614208,65.44,2.88,61.1432,0.0198
HIP 85667,Gaia DR3 4373199682919943808,\N,\N,60.8,1.42,61.19,0.68
HIP 70536,Gaia DR3 1254694882149817728,Gaia DR2 1254694882149817728,\N,63.35,1.81,61.2005,0.0194
HIP 16069,Gaia DR3 4673947174316727040,Gaia DR2 4673947174316727040,Gaia DR1 4673947170021197440,61.07,1.42,61.2271,0.015
HIP 70529,Gaia DR3 1254695603704323712,Gaia DR2 1254695603704323712,\N,59.54,1.73,61.2364,0.0198
HIP 117383,Gaia DR3 1940584323054654592,Gaia DR2 1940584323054654592,\N,60.56,3.24,61.2574,0.0215
HIP 71395,Gaia DR3 1176209886733406592,Gaia DR2 1176209886733406592,\N,60.35,0.99,61.2792,0.0426
HIP 63833,Gaia DR3 6080301367488384896,Gaia DR2 6080301367488384896,\N,63.66,1.34,61.3202,0.0201
HIP 43948,Gaia DR3 604756890202697728,Gaia DR2 604756890202697728,\N,60.99,3.45,61.3238,0.105
HIP 50954,Gaia DR3 5205029672996886016,Gaia DR2 5205029672995661056,\N,61.67,0.49,61.4342,0.1214
HIP 18774,Gaia DR3 551050046451136256,Gaia DR2 551050046451136256,\N,62.57,0.87,61.6525,0.0165
