designation,ra,dec,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper
"Gaia DR3 4103671243754951296",279.6869546094248,-14.493090301699558,74.79177425095429,0.052843038,579.8629,111.73937976470509,-568.9949808960315,1.1540186,10.241307,11.498909,9.135763,3224.9536,3222.7979,3241.176,4.1732,4.1664,4.2287,-0.8772,-0.8859,-0.8088,13.3978,13.3707,13.4682
"Gaia DR3 5684037136313018368",145.93572009719549,-17.784076029964655,74.58454496592636,0.019186294,1437.8563,-1419.9695896150583,226.09120785086048,1.1691287,12.1573925,13.402913,11.055974,3206.2996,3205.7556,3207.1077,4.7515,4.7507,4.7553,-1.0832,-1.0851,-1.0766,13.4134,13.405,13.4312
"Gaia DR3 5481843025342799104",96.4834930044876,-60.05701848235131,74.42176458851837,0.018152434,113.8401,-25.368449730433127,110.97752349487259,1.1006767,11.032926,12.594013,9.814856,3006.2886,3005.0742,3011.082,4.109,4.1042,4.128,-0.7662,-0.7718,-0.7422,13.4344,13.4284,13.4532
"Gaia DR3 205533465225342208",76.27525560161628,44.23424149518413,74.13952783501048,0.03054101,99.405075,95.18387177673358,-28.660061698127862,1.2829744,13.026942,14.954545,11.722702,3018.7253,3018.4966,3018.9656,5.0846,5.0842,5.085,-0.2122,-0.2139,-0.2106,13.4419,13.4323,13.4529
"Gaia DR3 1451450048399808384",207.26459525552625,26.979435072906163,74.09367050330306,0.037023433,431.85132,-417.13971253022316,-111.75877642639064,1.4109154,7.203598,7.772411,6.4687204,4524.2183,4520.924,4525.838,4.5388,4.5355,4.5404,-0.1348,-0.1829,-0.1248,13.4464,13.3266,13.4841
"Gaia DR3 2047690533883897856",297.17034072865096,35.92017560607515,74.38552746556688,0.019639414,293.19873,54.00977236952442,-288.1812721066219,1.1539586,11.800824,13.338846,10.592237,3036.6863,3035.4297,3040.4097,4.4196,4.4146,4.4331,-0.7996,-0.805,-0.784,13.4472,13.442,13.4583
"Gaia DR3 3765772972322477696",154.18955538043878,-11.9644646700575,74.23803517451385,0.026174312,734.47974,-417.6142950797529,-604.2009759421849,1.2108444,9.934185,11.224539,8.803616,3420.5334,3395.9612,3421.837,4.6612,4.5489,4.6643,-0.1149,-0.3727,-0.1085,13.4515,13.4357,13.4733
"Gaia DR3 2679694971455927296",329.2358923841423,-1.89987246889069,74.22008018316177,0.037404016,1419.7035,1280.969881931012,612.1063730915505,1.2544863,13.014442,14.935205,11.714705,3026.109,3025.75,3027.6426,5.0863,5.0858,5.087,-0.227,-0.2317,-0.2253,13.4545,13.4421,13.4669
"Gaia DR3 5934097210481810432",248.3305162924753,-52.133851689110905,74.12734282117357,0.029699482,404.67554,-201.84868457801554,-350.7412134619028,0.9862245,11.115624,12.581364,9.931381,3074.9802,3069.932,3170.625,4.2471,4.2285,4.5714,-0.79,-0.8119,-0.4135,13.4583,13.3444,13.5047
"Gaia DR3 3073508528645520000",128.60888691505394,-1.1461842748957634,74.41435177741494,0.028224645,479.24283,231.90976642060934,-419.39427880853594,1.178456,11.516895,12.938495,10.34256,3121.3594,3115.005,3145.1445,4.4983,4.4756,4.5916,-0.7258,-0.7542,-0.6101,13.4597,13.4322,13.5332
"Gaia DR3 3592769731134725248",172.6726859278835,-8.094129760812047,74.20466310328092,0.024746155,437.48712,-353.5785395243239,257.6377384941805,0.98348266,10.820291,12.26453,9.640134,3177.7312,3177.337,3179.2039,4.1614,4.1597,4.1628,-1.0956,-1.0964,-1.0942,13.4787,13.4658,13.5409
"Gaia DR3 555032443207370880",61.66178755097324,79.2652664645624,73.99006093699691,0.01859067,490.27057,277.3116764446193,-404.30615822225724,1.1821742,13.37053,15.462388,12.034927,2957.8188,2956.611,2958.1973,5.1039,5.1025,5.1044,-0.2081,-0.2101,-0.2017,13.497,13.4883,13.5091
"Gaia DR3 269067920001221888",89.90737758251713,58.591882912375425,74.13970520405475,0.017304095,254.17365,9.114921193697333,-254.01015846402925,1.0966785,9.412902,10.488072,8.383322,3390.4043,3386.567,3399.3894,4.1213,4.1107,4.1422,-0.9688,-0.9794,-0.9405,13.5032,13.4847,13.587
"Gaia DR3 348020482735930112",24.198321215249642,41.4037617615712,74.19396780666189,0.2082973,418.7238,-171.89184082707104,-381.8151588992299,7.246776,3.966133,4.2386155,3.5156913,6096.4243,6093.169,6098.3823,4.1171,4.1071,4.12,-0.0976,-0.1117,-0.0851,13.5205,13.4624,13.7321
"Gaia DR3 4453239765733463936",242.31623494090078,9.353067995129823,73.71779207255106,0.024681067,405.12323,-341.05714759528405,218.64323433013027,1.3463448,10.659685,12.006066,9.5102825,3167.7283,3158.4348,3279.8528,4.235,4.2052,4.5809,-0.8181,-0.8514,-0.4218,13.529,13.4363,13.5749
