designation,ra,dec,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper
Gaia DR3 4531940505956457984,281.0711639470908,22.157422440447316,49.01671202444597,0.018781673,326.5591,262.4532105112379,194.3171910908803,1.2961085,12.793064,14.220685,11.621083,3105.0256,3104.0286,3114.5896,4.5491,4.5462,4.5739,-0.8623,-0.8678,-0.8232,20.385,20.3425,20.6023
Gaia DR3 6191885339386292736,203.96240382486076,-23.375918640911323,49.018713113922736,0.028254854,86.847786,85.951798833931,-12.442908265842354,1.2045486,12.933881,14.330404,11.77708,3118.7283,3114.1313,3131.7212,4.6155,4.6027,4.6495,-0.8967,-0.9207,-0.822,20.3636,20.2883,21.1291
Gaia DR3 3103811515783541504,100.30304724944999,-4.534505318016889,49.01907859588942,0.080842994,907.2958,753.3681645650273,505.59076613408126,0.9938232,17.019897,17.716751,16.227835,,,,,,,,,,,,
Gaia DR3 4812321124989687296,77.43184635476484,-43.420647766577,49.02730485130213,0.016922224,235.61473,-133.17442451302497,194.36788204116945,1.1393354,12.635375,14.312712,11.388682,3001.0154,3000.1357,3003.9492,4.4045,4.4019,4.4124,-0.6068,-0.6118,-0.5914,20.4394,20.4019,20.6405
Gaia DR3 1828661426704706048,304.536714344581,20.79553481365697,49.02927207853821,2.9220374,28.125174,-12.420839682761079,-25.233868191560205,2.6472507,20.144213,20.233294,18.636213,,,,,,,,,,,,
Gaia DR3 455808803070744832,34.2709104784996,54.58289802939093,49.03161764193878,0.020035299,310.2928,-64.65854609050547,303.4812795235798,1.2560575,13.48304,15.149896,12.240175,,,,,,,,,,,,
Gaia DR3 5452743423618768000,164.64325727434309,-31.144350901047698,49.03313853116502,0.02411088,574.2993,-566.9799271750813,-91.3971375938355,1.2816533,10.933641,12.171782,9.824613,3251.5981,3233.9492,3358.5708,4.1637,4.1073,4.4855,-0.826,-0.8877,-0.4609,20.4127,20.2873,20.5828
Gaia DR3 6187779556809793024,196.41584500082664,-25.685041503354125,49.04594434944107,0.7248032,306.59155,-305.3713351235555,-27.326193318209075,2.3477886,18.742327,21.157574,16.793161,,,,,,,,,,,,
Gaia DR3 1956328333130770048,331.50317291374466,39.29876462114705,49.05441614063756,0.02358052,464.2266,69.11612360087612,-459.0526019151721,1.3915778,11.638953,13.000794,10.481445,3132.5344,3132.1423,3133.1365,4.1817,4.1801,4.1845,-0.8651,-0.8669,-0.8595,20.4309,20.4115,20.4759
Gaia DR3 6468968316900356736,306.9287528887697,-56.462457532948925,49.05549556092097,0.024669724,1302.0541,424.4172689388023,-1230.9406002928697,1.239546,11.235408,12.455269,10.136737,3319.106,3279.3918,3371.4207,4.4919,4.3499,4.6297,-0.5706,-0.7424,-0.425,20.3902,20.2825,20.504
Gaia DR3 5605040794974833024,109.12189567634867,-31.5444244145816,49.0587019173397,0.019230075,200.34143,22.611280010995237,-199.0613385894988,1.3333561,12.486804,13.9162655,11.312716,,,,,,,,,,,,
Gaia DR3 4815660547961306112,70.13963424554842,-41.86408761019901,49.062048531816515,0.09365071,159.00679,-139.84317633357577,-75.67725038342462,1.157769,4.3509507,4.5302095,4.0570984,6978.425,6972.4277,6983.5522,4.1268,4.1186,4.1396,-0.5668,-0.6918,-0.4208,20.4143,20.3377,20.4854
Gaia DR3 80910659801926528,32.921614368312625,18.561755428224707,49.06617039344781,0.037254173,334.94443,196.28666058725628,271.40249324320524,1.5011375,11.382913,12.758259,10.223345,3157.5627,3156.6301,3158.7139,4.2172,4.2141,4.2213,-0.6957,-0.6989,-0.6916,20.425,20.4096,20.4405
Gaia DR3 4064744580679707520,273.1965766975565,-25.64876505750985,49.075330864982554,1.9353656,24.086662,10.284368923346959,21.78070369259789,1.9270723,19.553776,19.560377,18.094625,,,,,,,,,,,,
Gaia DR3 1898230241798771584,328.68876724079007,32.3275247634024,49.07845231466058,0.02299226,314.616,209.79353249724798,-234.45659167263258,1.0640236,7.483454,7.944848,6.8566236,4914.299,4913.711,4914.933,4.5183,4.5178,4.5188,-0.1651,-0.1685,-0.1619,20.3649,20.3546,20.3756
Gaia DR3 2337628932595588608,357.9621072882983,-25.62602193516749,49.08117628430175,0.4531272,423.59406,373.99172883507015,198.90228034344463,5.4171886,17.179703,20.699333,15.440065,,,,,,,,,,,,
Gaia DR3 311392417520107136,15.279743329892627,29.258884028762814,49.100626033789965,0.020998795,210.71912,204.47545125320568,-50.91496345245919,1.4925121,13.038446,14.597101,11.8325405,,,,,,,,,,,,
