HR,Name,HD,HD_Suffix,V,B_V,SpType
HR 936,26Bet Per,HD 19356,\N,2.12,-0.05,B8V
HR 2348,\N,HD 45572,\N,5.76,-0.06,B9V
HR 7305,\N,HD 180553,\N,6.54,-0.06,B8V
HR 836,42Pi  Ari,HD 17543,\N,5.22,-0.06,B6V
HR 8375,\N,HD 208682,\N,5.86,-0.06,B2.5Ve
HR 1372,The Ret,HD 27657,\N,5.87,-0.07,B9III-IV
HR 1902,\N,HD 37098,\N,5.83,-0.07,B9IV-V
HR 335,42Phi And,HD 6811,\N,4.25,-0.07,B7Ve
HR 55,\N,HD 1141,\N,6.35,-0.07,B8Vnn
HR 5904,2    Sco,HD 142114,\N,4.59,-0.07,B2.5Vn
HR 6477,\N,HD 157661,\N,5.29,-0.07,B7V+B9.5V
HR 7978,\N,HD 198513,\N,6.29,-0.07,B8Vnp
HR 8065,\N,HD 200614,\N,5.83,-0.07,B8III
HR 9071,8Sig Cas,HD 224572,\N,4.88,-0.07,B1V
HR 2095,37The Aur,HD 40312,\N,2.62,-0.08,A0pSi
HR 2438,54    Aur,HD 47395,\N,6.03,-0.08,B7III
HR 28,\N,HD 584,\N,6.74,-0.08,B7IV
HR 4401,\N,HD 99104,\N,5.11,-0.08,B5V
HR 5683,Mu  Lup,HD 135734,\N,4.27,-0.08,B8Ve
HR 8976,19Kap And,HD 222439,\N,4.14,-0.08,B9IVn
HR 1165,25Eta Tau,HD 23630,\N,2.87,-0.09,B7IIIe
HR 1863,\N,HD 36646,\N,6.46,-0.09,B4Vn
HR 2937,\N,HD 61330,\N,4.53,-0.09,B8IV
HR 3489,\N,HD 75086,\N,6.21,-0.09,B7III
HR 5474,\N,HD 129161,\N,6.37,-0.09,ApSi
HR 5684,\N,HD 135737,\N,6.28,-0.09,B3V
HR 7642,\N,HD 189432,\N,6.32,-0.09,B5IV
HR 8386,12Eta PsA,HD 209014,\N,5.42,-0.09,B8V
HR 123,14Lam Cas,HD 2772,\N,4.73,-0.10,B8Vn
HR 1465,Alp Dor,HD 29305,\N,3.27,-0.10,A0IIISi
